no,hello,code,map,aws-text,smsbot,twilio,weather
1,616,200,34,0,0,0,456
2,114,200,196,0,0,0,0
3,54,200,196,0,0,0,0
4,54,200,196,0,0,0,0
5,54,200,196,0,0,0,0
6,54,200,196,0,0,0,0
7,54,200,196,0,0,0,0
8,54,0,196,0,0,0,0
9,54,0,196,0,0,0,0
10,54,0,196,0,0,0,0
11,54,0,196,0,0,0,0
12,54,0,196,0,0,0,0
13,54,0,196,0,0,0,0
14,54,0,196,0,0,0,0
15,54,0,196,0,0,0,0
16,54,0,196,0,0,0,0
17,54,0,196,0,0,0,0
18,54,0,196,0,0,0,0
19,54,0,196,0,0,0,0
20,54,0,196,0,0,0,0
21,54,0,196,0,0,0,0
22,54,0,196,0,0,0,0
23,54,0,196,0,0,0,0
24,54,0,196,0,0,0,0
25,44,0,196,0,0,0,0
26,33,0,196,0,0,0,0
27,33,0,196,0,0,0,0
28,33,0,196,0,0,0,0
29,33,0,196,0,0,0,0
30,33,0,196,0,0,0,0
31,33,0,196,0,0,0,0
32,33,0,196,0,0,0,0
33,33,0,196,0,0,0,0
34,33,0,196,0,0,0,0
35,33,0,196,0,0,0,0
36,33,0,196,0,0,0,0
37,33,0,196,0,0,0,0
38,33,0,196,0,0,0,0
39,33,0,196,0,0,0,0
40,33,0,196,0,0,0,0
41,33,0,196,0,0,0,0
42,33,0,196,0,0,0,0
43,33,0,196,0,0,0,0
44,33,0,196,0,0,0,0
45,33,0,196,0,0,0,0
46,33,0,196,0,0,0,0
47,33,0,196,0,0,0,0
48,31,0,196,0,0,0,0
49,31,0,196,0,0,0,0
50,31,0,196,0,0,0,0
51,31,0,196,0,0,0,0
52,31,0,196,0,0,0,0
53,31,0,196,0,0,0,0
54,31,0,196,0,0,0,0
55,31,0,196,0,0,0,0
56,31,0,196,0,0,0,0
57,31,0,196,0,0,0,0
58,31,0,196,0,0,0,0
59,31,0,196,0,0,0,0
60,24,0,196,0,0,0,0
61,24,0,196,0,0,0,0
62,24,0,196,0,0,0,0
63,24,0,196,0,0,0,0
64,24,0,196,0,0,0,0
65,24,0,196,0,0,0,0
66,24,0,196,0,0,0,0
67,24,0,196,0,0,0,0
68,24,0,196,0,0,0,0
69,24,0,196,0,0,0,0
70,24,0,196,0,0,0,0
71,24,0,196,0,0,0,0
72,24,0,196,0,0,0,0
73,24,0,196,0,0,0,0
74,24,0,196,0,0,0,0
75,24,0,196,0,0,0,0
76,24,0,196,0,0,0,0
77,24,0,196,0,0,0,0
78,24,0,196,0,0,0,0
79,24,0,196,0,0,0,0
80,24,0,196,0,0,0,0
81,24,0,196,0,0,0,0
82,24,0,196,0,0,0,0
83,24,0,196,0,0,0,0
84,24,0,196,0,0,0,0
85,24,0,196,0,0,0,0
86,24,0,196,0,0,0,0
87,24,0,196,0,0,0,0
88,24,0,196,0,0,0,0
89,24,0,196,0,0,0,0
90,24,0,196,0,0,0,0
91,24,0,196,0,0,0,0
92,24,0,196,0,0,0,0
93,24,0,196,0,0,0,0
94,4,0,196,0,0,0,0
95,4,0,196,0,0,0,0
96,4,0,196,0,0,0,0
97,4,0,196,0,0,0,0
98,4,0,196,0,0,0,0
99,4,0,196,0,0,0,0
100,4,0,196,0,0,0,0
101,4,0,196,0,0,0,0
102,4,0,196,0,0,0,0
103,4,0,196,0,0,0,0
